Benchmark,basic-only (Target),CI (Target),CIPP (Target),1-object-sens (Target)
bootique,12910,3422,3417,--
commons-collections4,8916,2657,2652,2622
flink-core,18062,3764,3748,3731
jsonschema2pojo,17832,2817,2808,2804
maven-core,14102,2726,2717,2713
microbenchmark,7569,1527,1527,1515
mybatis,32043,4542,4539,--
quartz-core,11424,2786,2785,2774
vraptor,19603,4240,4227,--
