GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payroll-test,ca.liang,PayRoll,13,34,0,2,4,9,1,3,1,2
payroll-test,ca.liang,Employee,6,21,0,0,1,8,1,4,1,4
payroll-test,ca.liang,EmployeeDB,9,0,0,0,4,0,2,0,2,0
payroll-test,ca.liang,BankService,23,0,0,0,5,0,2,0,2,0
