Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
io.bootique.config.jackson.merger.InPlacePropertiesMergerTest::testApply_ObjectArray()V	832	0
io.bootique.config.jackson.merger.InPlacePropertiesMergerTest::testApply_ObjectArray_PastEnd()V	832	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_MergeMap()V	1186	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_MergeList_Replace()V	1182	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_OverrideValues()V	1182	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_OverrideValues_Null()V	1182	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_MergeSubMap()V	1182	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_MergeSubList_Replace()V	1182	0
io.bootique.config.jackson.merger.InPlaceLeftHandMergerTest::testApply_MultiMerge()V	1182	0
io.bootique.value.PercentTest::testEquals()V	28	0
io.bootique.value.PercentTest::testHashCode()V	822	0
io.bootique.value.PercentTest::testCompareTo()V	28	0
io.bootique.value.PercentTest::testParse_Null()V	816	0
io.bootique.value.PercentTest::testParse_Empty()V	816	0
io.bootique.value.PercentTest::testParse_NotANumber()V	816	0
io.bootique.value.PercentTest::testParse()V	850	0
io.bootique.value.PercentTest::testParse_Negative()V	850	0
io.bootique.value.PercentTest::testParse_Zero()V	850	0
io.bootique.value.PercentTest::testParse_Hundred()V	850	0
io.bootique.value.PercentTest::testParse_Large()V	850	0
io.bootique.value.PercentTest::testToString_Precision()V	816	0
io.bootique.value.BytesTest::testParse_byte()V	819	0
io.bootique.value.BytesTest::testParse_KB()V	825	0
io.bootique.value.BytesTest::testParse_MB()V	825	0
io.bootique.value.BytesTest::testParse_GB()V	825	0
io.bootique.value.BytesTest::testParse_Null()V	816	0
io.bootique.value.BytesTest::testParse_Empty()V	816	0
io.bootique.value.BytesTest::testParse_Invalid1()V	816	0
io.bootique.value.BytesTest::testParse_Invalid2()V	816	0
io.bootique.value.BytesTest::testCompareTo()V	28	0
io.bootique.value.BytesTest::testEquals()V	34	0
io.bootique.value.BytesTest::testHashCode()V	825	0
io.bootique.value.BytesTest::testUnitConversion()V	818	0
io.bootique.value.DurationTest::testParse_Millis()V	1026	0
io.bootique.value.DurationTest::testParse_Seconds()V	1025	0
io.bootique.value.DurationTest::testParse_Minutes()V	1026	0
io.bootique.value.DurationTest::testParse_Hours()V	1026	0
io.bootique.value.DurationTest::testParse_Days()V	1026	0
io.bootique.value.DurationTest::testParse_Fract()V	1025	0
io.bootique.value.DurationTest::testParse_Null()V	816	0
io.bootique.value.DurationTest::testParse_FractMs()V	816	0
io.bootique.value.DurationTest::testParse_Empty()V	816	0
io.bootique.value.DurationTest::testParse_Invalid1()V	816	0
io.bootique.value.DurationTest::testParse_Invalid2()V	816	0
io.bootique.value.DurationTest::testCompareTo()V	27	0
io.bootique.value.DurationTest::testEquals()V	29	0
io.bootique.value.DurationTest::testHashCode()V	821	0
io.bootique.meta.config.ConfigHierarchyResolverTest::testCreate_Classes()V	835	0
io.bootique.meta.config.ConfigHierarchyResolverTest::testCreate_BaseInterface()V	834	0
io.bootique.meta.config.ConfigObjectMetadataTest::testGetAllSubconfigs()V	843	0
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile()V	1076	2
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile_Cycle()V	1055	0
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile_Inheritance()V	1073	0
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile_Map()V	1051	1
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile_Map_Inheritance()V	1077	1
io.bootique.meta.config.ConfigMetadataCompilerTest::testCompile_InheritanceFromInterface()V	1073	0
io.bootique.meta.config.ConfigMetadataIT::testSingleConfig()V	927	0
io.bootique.meta.config.ConfigMetadataIT::testRecursiveConfig()V	950	0
io.bootique.meta.config.ConfigMetadataIT::testValueObjectConfig()V	947	0
io.bootique.meta.config.ConfigMetadataIT::testSampleValue()V	819	0
io.bootique.meta.config.ConfigMetadataIT::testGetValueLabel()V	823	0
io.bootique.meta.config.ConfigMetadataIT::testNoTypeValueLabel()V	820	0
io.bootique.meta.config.ConfigMetadataIT::testTypeValueLabel()V	823	0
io.bootique.meta.module.ModuleMetadataTest::testFindConfig_NotFound()V	71	0
io.bootique.meta.module.ModuleMetadataTest::testFindConfig()V	857	0
io.bootique.meta.module.ModuleMetadataTest::testFindConfig_Inheritance()V	853	0
io.bootique.meta.module.ModuleMetadataIT::testDefault()V	922	0
io.bootique.meta.module.ModuleMetadataIT::testCustomModule()V	912	0
io.bootique.meta.module.ModuleMetadataIT::testCustomNamedModule()V	918	0
io.bootique.meta.module.ModuleMetadataIT::testProvider()V	918	0
io.bootique.meta.application.ApplicationMetadataIT::testDefault()V	924	0
io.bootique.meta.application.ApplicationMetadataIT::testCustomDescription()V	926	0
io.bootique.meta.application.CommandMetadataTest::testGetShortName()V	836	0
io.bootique.meta.application.CommandMetadataTest::testGetName()V	834	0
io.bootique.meta.application.CommandMetadataTest::testGetName_CamelCase()V	834	0
io.bootique.meta.application.CommandMetadataTest::testGetName_UpperCase()V	834	0
io.bootique.meta.application.ApplicationIntrospectorTest::testMainClass()V	433	0
io.bootique.meta.application.ApplicationIntrospectorTest::testAppNameFromRuntime()V	439	0
io.bootique.terminal.SttyTerminalTest::testParseLine_OSX()V	829	0
io.bootique.terminal.SttyTerminalTest::testParseColumns_OSX()V	837	0
io.bootique.terminal.SttyTerminalTest::testParseLine_Linux()V	829	0
io.bootique.terminal.SttyTerminalTest::testParseLine_Docker_Ubuntu()V	829	0
io.bootique.terminal.SttyTerminalTest::testParseLine_Invalid()V	706	0
io.bootique.ConfigModuleTest::testDefaultConfigPrefix()V	827	0
io.bootique.ConfigModuleTest::testConfigPrefix()V	815	0
io.bootique.ConfigModuleTest::testConfigConfig()V	880	1
io.bootique.BQModuleIdTest::testStaticClass()V	828	0
io.bootique.BQModuleIdTest::testClass()V	828	0
io.bootique.BQModuleIdTest::testMethodRef()V	828	0
io.bootique.BQModuleIdTest::testLambda()V	828	0
io.bootique.BQModuleIdTest::testLambdaFactory()V	826	0
io.bootique.BQModuleIdTest::testMix()V	829	0
io.bootique.BootiqueStaticsTest::testCreateModule()V	821	0
io.bootique.Bootique_CliOptionsIT::testConfigOption()V	944	0
io.bootique.Bootique_CliOptionsIT::testConfigOptions()V	944	0
io.bootique.Bootique_CliOptionsIT::testHelpOption()V	597	0
io.bootique.Bootique_CliOptionsIT::testHelpOption_Short()V	597	0
io.bootique.Bootique_CliOptionsIT::testNoHelpOption()V	597	0
io.bootique.Bootique_CliOptionsIT::testOverlappingOptions()V	602	0
io.bootique.Bootique_CliOptionsIT::testNameConflict_TwoOptions()V	816	0
io.bootique.Bootique_CliOptionsIT::testNameConflict_TwoCommands()V	816	0
io.bootique.Bootique_CliOptionsIT::testOverlappingOptions_Short()V	905	0
io.bootique.Bootique_CliOptionsIT::testCommandWithOptionNameOverlap()V	601	0
io.bootique.Bootique_CliOptionsIT::testCommand_IllegalShort()V	905	0
io.bootique.Bootique_CliOptionsIT::testCommand_ExplicitShort()V	599	0
io.bootique.Bootique_CliOptionsIT::testOverlappingCommands_IllegalShort()V	905	0
io.bootique.Bootique_CliOptionsIT::testIllegalAbbreviation()V	905	0
io.bootique.Bootique_CliOptionsIT::testOverlappingCommands_Short()V	602	0
io.bootique.Bootique_CliOptionsIT::testDefaultCommandOptions()V	928	0
io.bootique.Bootique_CliOptionsIT::testOption_OverrideConfig()V	922	1
io.bootique.Bootique_CliOptionsIT::testOptionPathAbsentInYAML()V	917	1
io.bootique.Bootique_CliOptionsIT::testOptionsCommandAndModuleOverlapping()V	917	1
io.bootique.Bootique_CliOptionsIT::testOptionsOrder_OnCLI()V	923	1
io.bootique.Bootique_CliOptionsIT::testOptionsWithOverlappingPath_OverrideConfig()V	916	1
io.bootique.Bootique_CliOptionsIT::testOptionWithNotMappedConfigPath()V	905	0
io.bootique.Bootique_CliOptionsIT::testOptionConfigFile_OverrideConfig()V	917	1
io.bootique.Bootique_CliOptionsIT::testMultipleOptionsConfigFiles_OverrideInCLIOrder()V	921	1
io.bootique.Bootique_CliOptionsIT::testOptionDefaultValue()V	921	0
io.bootique.Bootique_CliOptionsIT::testMissingOptionDefaultValue()V	606	0
io.bootique.Bootique_CliOptionsIT::testCommandWithOptionWithDefaultValue()V	921	0
io.bootique.BaseModuleTest::testModule()V	815	0
io.bootique.Bootique_Configuration_PropertiesIT::testOverride()V	916	1
io.bootique.Bootique_Configuration_PropertiesIT::testOverrideNested()V	919	1
io.bootique.Bootique_Configuration_PropertiesIT::testOverrideValueArray()V	914	1
io.bootique.Bootique_Configuration_PropertiesIT::testOverrideValueArray_Empty()V	918	1
io.bootique.Bootique_Configuration_PropertiesIT::testOverrideObjectArray()V	915	1
io.bootique.Bootique_Configuration_PropertiesIT::testOverrideObjectArray_AddValue()V	915	1
io.bootique.log.DefaultBootLoggerTest::testStdout()V	480	406
io.bootique.log.DefaultBootLoggerTest::testStderr()V	484	406
io.bootique.log.DefaultBootLoggerTest::testTrace()V	482	406
io.bootique.log.DefaultBootLoggerTest::testNoTrace()V	465	0
io.bootique.command.DefaultCommandManagerTest::testLookupByType()V	828	0
io.bootique.command.DefaultCommandManagerTest::testLookupByType_Missing()V	818	0
io.bootique.command.DefaultCommandManagerTest::testLookupByName()V	823	0
io.bootique.command.DefaultCommandManagerTest::testLookupByName_Missing()V	819	0
io.bootique.command.CommandManagerIT::testHelpAndModuleCommands()V	932	0
io.bootique.command.CommandManagerIT::testDefaultAndHelpAndModuleCommands()V	930	0
io.bootique.command.CommandManagerIT::testHiddenCommands()V	923	0
io.bootique.command.CommandManagerIT::testDefaultCommandWithMetadata()V	929	0
io.bootique.command.CommandManagerIT::testDefaultCommandViaProvidesMethod()V	922	0
io.bootique.command.CommandsIT::testModuleCommands()V	933	0
io.bootique.command.CommandsIT::testNoModuleCommands()V	935	0
io.bootique.command.CommandsIT::testModule_ExtraCommandAsType()V	933	0
io.bootique.command.CommandsIT::testModule_ExtraCommandAsInstance()V	925	0
io.bootique.command.CommandsIT::testModule_ExtraCommandOverride()V	923	0
io.bootique.command.CommandDecorator_CommandsIT::testAlsoRun_DecorateWithPrivate()V	624	0
io.bootique.command.CommandDecorator_CommandsIT::testBeforeRun_DecorateWithPrivate()V	623	0
io.bootique.command.CommandDecoratorIT::testAlsoRun_Instance()V	728	2
io.bootique.command.CommandDecoratorIT::testAlsoRun_NameRef()V	619	0
io.bootique.command.CommandDecoratorIT::testAlsoRun_NameRef_WithArgs()V	616	0
io.bootique.command.CommandDecoratorIT::testAlsoRun_TypeRef()V	619	0
io.bootique.command.CommandDecoratorIT::testAlsoRun_TypeRef_WithArgs()V	616	0
io.bootique.command.CommandDecoratorIT::testBeforeRun_Instance()V	729	2
io.bootique.command.CommandDecoratorIT::testBeforeRun_Failure_NameRef()V	615	0
io.bootique.command.CommandDecoratorIT::testBeforeRun_Failure_NameRef_WithArgs()V	620	0
io.bootique.command.CommandDecoratorIT::testBeforeRun_Failure_TypeRef()V	615	0
io.bootique.command.CommandDecoratorIT::testBeforeRun_Failure_TypeRef_WithArgs()V	620	0
io.bootique.command.CommandDecoratorIT::testBeforeAndAlsoRun()V	730	8
io.bootique.command.CommandDecoratorIT::testMultipleDecoratorsForTheSameCommand()V	713	4
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Overrides()V	904	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Overrides_Multi_Level()V	904	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_OverridesWithProvider()V	903	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Override_TwoLevelTree()V	908	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Override_ThreeLevelTree()V	909	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Overrides_OriginalModuleServices()V	906	0
io.bootique.Bootique_ModuleOverridesIT::testCreateInjector_Overrides_Multi_Level_OriginalModuleServices()V	906	0
io.bootique.run.DefaultRunnerTest::testRun()V	659	5
io.bootique.run.DefaultRunnerTest::testRun_ReverseOrder()V	659	5
io.bootique.run.DefaultRunnerTest::testRun_NoMatch()V	904	1
io.bootique.run.DefaultRunnerTest::testRun_NullName_Default()V	659	5
io.bootique.run.DefaultRunnerTest::testRun_NullName_Help()V	659	4
io.bootique.run.DefaultRunnerTest::testRun_NullName_NoFallback()V	658	3
io.bootique.run.DefaultRunnerTest::testRun_Failure()V	937	1
io.bootique.run.DefaultRunnerIT::testRun_Explicit()V	638	0
io.bootique.run.DefaultRunnerIT::testRun_Implicit_Default()V	638	0
io.bootique.run.DefaultRunnerIT::testRun_Implicit_Help()V	641	0
io.bootique.run.DefaultRunnerIT::testRun_Implicit_NoModuleCommands_NoHelp()V	646	0
io.bootique.run.DefaultRunnerIT::testRun_Implicit_NoModuleCommands_HelpAllowed()V	649	0
