<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/io.bootique.command.Command.run/7	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>	185	<io.bootique.command.CommandDecoratorIT: void testBeforeAndAlsoRun()>/$stack59
<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>	192	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/c1#_191
<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>	195	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/c2#_194
<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/io.bootique.command.Command.run/2	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>	205	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/$stack25
<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/io.bootique.command.Command.run/3	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>	206	<io.bootique.command.CommandDecoratorIT: void testMultipleDecoratorsForTheSameCommand()>/$stack30
<io.bootique.log.DefaultBootLogger: void stdout(java.lang.String)>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>	<io.bootique.log.DefaultBootLogger: void stdout(java.lang.String)>	53	<io.bootique.log.DefaultBootLogger: void stdout(java.lang.String)>/$stack2
<io.bootique.log.DefaultBootLogger: void stderr(java.lang.String)>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>	<io.bootique.log.DefaultBootLogger: void stderr(java.lang.String)>	58	<io.bootique.log.DefaultBootLogger: void stderr(java.lang.String)>/$stack2
<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>	55	<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>/mock#_54
<io.bootique.run.DefaultRunnerTest: void testRun()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun()>	80	<io.bootique.run.DefaultRunnerTest: void testRun()>/$stack33
<io.bootique.run.DefaultRunnerTest: void testRun()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun()>	81	<io.bootique.run.DefaultRunnerTest: void testRun()>/$stack38
