Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.jsonschema2pojo.rules.MinItemsMaxItemsRuleTest::testNotUsed()V	551	13
org.jsonschema2pojo.rules.MinItemsMaxItemsRuleTest::jsrDisable()V	550	8
org.jsonschema2pojo.rules.ArrayRuleTest::arrayWithUniqueItemsProducesSet()V	899	749
org.jsonschema2pojo.rules.ArrayRuleTest::arrayWithNonUniqueItemsProducesList()V	906	751
org.jsonschema2pojo.rules.ArrayRuleTest::arrayOfPrimitivesProducesCollectionOfWrapperTypes()V	907	752
org.jsonschema2pojo.rules.ArrayRuleTest::arrayDefaultsToNonUnique()V	898	748
org.jsonschema2pojo.rules.TypeRuleTest::wireUpConfig()V	68	1
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesString()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesDate()V	1392	1338
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesInteger()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerPrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeIntegerPrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBigInteger()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBigIntegerOverridingLong()V	1304	1241
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBigDecimal()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBigDecimalOverridingDouble()V	1304	1241
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeInteger()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongPrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLong()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongPrimitiveWhenMaximumGreaterThanIntegerMax()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongWhenMaximumGreaterThanIntegerMax()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongPrimitiveWhenMaximumLessThanIntegerMin()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongWhenMaximumLessThanIntegerMin()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongPrimitiveWhenMinimumLessThanIntegerMin()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongWhenMinimumLessThanIntegerMin()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongPrimitiveWhenMinimumGreaterThanIntegerMax()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeLongWhenMinimumGreaterThanIntegerMax()V	1308	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesIntegerUsingJavaTypeBigInteger()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumber()V	1304	1240
