Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
br.com.caelum.vraptor.core.DefaultConvertersTest::complainsIfNoConverterFound()V	591	0
br.com.caelum.vraptor.core.DefaultConvertersTest::convertingANonAnnotatedConverterEndsUpComplaining()V	21	0
br.com.caelum.vraptor.core.DefaultConvertersTest::registersAndUsesTheConverterInstaceForTheSpecifiedType()V	622	2
br.com.caelum.vraptor.core.DefaultConvertersTest::usesTheLastConverterInstanceRegisteredForTheSpecifiedType()V	622	2
br.com.caelum.vraptor.core.DefaultConvertersTest::existsForWillReturnTrueForRegisteredConverters()V	615	1
br.com.caelum.vraptor.validator.MethodValidatorTest::shouldAcceptIfMethodHasConstraint()V	45	0
br.com.caelum.vraptor.validator.MethodValidatorTest::shouldNotAcceptIfMethodHasConstraint()V	45	0
br.com.caelum.vraptor.validator.MethodValidatorTest::shouldValidateMethodWithConstraint()V	90	6
br.com.caelum.vraptor.validator.MethodValidatorTest::shouldUseDefaultLocale()V	74	7
br.com.caelum.vraptor.validator.MethodValidatorTest::shouldValidateMethodWithTwoConstraints()V	87	26
br.com.caelum.vraptor.validator.ValidationsTest::setup()V	1066	0
br.com.caelum.vraptor.validator.ValidationsTest::canHandleTheSingleCheck()V	47	0
br.com.caelum.vraptor.validator.ValidationsTest::shouldUseTheConstructorResourceBundle()V	44	2
br.com.caelum.vraptor.validator.ValidationsTest::shouldUseTheConstructorResourceBundleFirst()V	47	2
br.com.caelum.vraptor.validator.ValidationsTest::shouldFallbackToGivenResourceBundle()V	47	2
br.com.caelum.vraptor.validator.ValidationsTest::shouldFallbackToDefaultMessage()V	47	2
br.com.caelum.vraptor.validator.ValidationsTest::canHandleTheSingleCheckWhenProblematic()V	47	0
br.com.caelum.vraptor.validator.ValidationsTest::canHandleInternalPrimitiveValidation()V	47	0
br.com.caelum.vraptor.validator.ValidationsTest::should18nalizeParametersUsingConstructorBundle()V	43	2
br.com.caelum.vraptor.validator.ValidationsTest::should18nalizeParametersUsingGivenBundle()V	43	2
br.com.caelum.vraptor.validator.ValidationsTest::canIgnoreInternalPrimitiveValidationIfAlreadyNull()V	52	0
br.com.caelum.vraptor.validator.ValidationsTest::executesInternalValidationIfSuccessful()V	53	0
br.com.caelum.vraptor.validator.ValidationsTest::complainsAboutInternalPrimitiveValidation()V	47	0
br.com.caelum.vraptor.validator.ValidationsTest::formatsParameterizedValidationMessagesWhenUsingMatchers()V	52	2
br.com.caelum.vraptor.validator.ValidationsTest::formatsParameterizedValidationMessagesWithSeveralParametersI18ningStringParameters()V	49	2
br.com.caelum.vraptor.validator.ValidationsTest::formatsParameterizedValidationMessagesWithI18nedStringParameters()V	50	2
br.com.caelum.vraptor.validator.ValidationsTest::should18nalizeTheCategoryParameterUsingGivenBundle()V	43	2
br.com.caelum.vraptor.validator.ValidationsTest::should18nalizeTheCategoryParameterUsingMatchersWithReasonGivenBundle()V	43	2
br.com.caelum.vraptor.validator.ValidationsTest::should18nalizeTheCategoryParameterUsingMatchersWithoutReasonGivenBundle()V	43	2
br.com.caelum.vraptor.validator.ValidationsTest::shouldAppendErrors()V	43	0
br.com.caelum.vraptor.validator.BeanValidatorTest::setup()V	490	0
br.com.caelum.vraptor.validator.BeanValidatorTest::withoutViolations()V	55	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidate()V	57	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateWithMyLocale()V	76	23
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateWithDefaultLocale()V	76	23
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldReturnEmptyCollectionIsBeanIsNull()V	55	0
br.com.caelum.vraptor.validator.BeanValidatorTest::nullValidatorShouldNeverValidate()V	35	3
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateOneSpecifiedGroup()V	55	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateManySpecifiedGroups()V	55	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateOnlySpecifiedProperties()V	59	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldThrowExceptionIfNoPropertiesWereSpecified()V	49	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldReturnEmptyCollectionIfBeanIsNullForValidationProperties()V	59	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldValidateSpecificPropertyOfSpecificValidationGroup()V	56	0
br.com.caelum.vraptor.validator.BeanValidatorTest::shouldReturnEmptyCollectionWhenBeanIsNull()V	56	0
br.com.caelum.vraptor.validator.ReplicatorOutjectorTest::setUp()V	490	1
br.com.caelum.vraptor.validator.ReplicatorOutjectorTest::shouldReplicateMethodParametersToNextRequest()V	464	6
br.com.caelum.vraptor.validator.DefaultValidatorTest::setup()V	44	5
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldDoNothingWhenYouDontSpecifyTheValidationPage()V	464	0
br.com.caelum.vraptor.validator.DefaultValidatorTest::outjectsTheRequestParameters()V	452	2
br.com.caelum.vraptor.validator.DefaultValidatorTest::addsTheErrorsOnTheResult()V	469	2
br.com.caelum.vraptor.validator.DefaultValidatorTest::forwardToCustomOnErrorPage()V	460	3
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldNotRedirectIfHasNotErrors()V	464	2
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldAddBeanValidatorErrorsIfPossible()V	69	3
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldAddBeanValidatorErrorsIfPossibleForSpecificProperties()V	69	3
br.com.caelum.vraptor.validator.DefaultValidatorTest::testThatValidatorGoToRedirectsToTheErrorPageImmediatellyAndNotBeforeThis()V	465	3
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldParametrizeMessage()V	34	2
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldSetBundleOnI18nMessagesLazily()V	77	2
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldThrowIllegalStateExceptionIfI18nBundleHasNotBeenSet()V	33	0
br.com.caelum.vraptor.validator.DefaultValidatorTest::shouldOnlySetBundleOnI18nMessagesThatHasNotBeenSetBefore()V	765	3
br.com.caelum.vraptor.validator.ValidatorAcceptanceTest::setup()V	41	1
br.com.caelum.vraptor.validator.ValidatorAcceptanceTest::validDataDoesntThrowException()V	21	0
br.com.caelum.vraptor.proxy.JavassistProxifierTest::setUp()V	1	0
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldProxifyInterfaces()V	34	1
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldProxifyConcreteClassesWithDefaultConstructors()V	34	1
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldProxifyConcreteClassesWithComplexConstructorsAndPassNullForAllParameters()V	33	1
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldNeverCallSuperclassConstructors()V	37	1
