Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiRemoveByTailMap()V	11	5
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiRemoveByTailMapEntrySet()V	15	8
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiSubMapContains()V	10	5
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiClearBySubMap()V	12	5
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiRemoveBySubMap()V	11	6
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest::testBidiRemoveBySubMapEntrySet()V	16	9
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest::testUnmodifiable()V	4	0
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest::testDecorateFactory()V	3	0
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest::testFirstKey()V	7	1
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest::testLastKey()V	8	2
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest::testNextKey()V	6	3
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest::testPreviousKey()V	18	3
org.apache.commons.collections4.collection.TransformedCollectionTest::testTransformedCollection()V	32	1
org.apache.commons.collections4.collection.TransformedCollectionTest::testTransformedCollection_decorateTransform()V	37	0
org.apache.commons.collections4.collection.PredicatedCollectionTest::testIllegalAdd()V	7	1
org.apache.commons.collections4.collection.PredicatedCollectionTest::testIllegalAddAll()V	8	1
org.apache.commons.collections4.collection.IndexedCollectionTest::testAddedObjectsCanBeRetrievedByKey()V	14	4
org.apache.commons.collections4.collection.IndexedCollectionTest::testEnsureDuplicateObjectsCauseException()V	7	2
org.apache.commons.collections4.collection.IndexedCollectionTest::testDecoratedCollectionIsIndexedOnCreation()V	16	0
org.apache.commons.collections4.collection.IndexedCollectionTest::testReindexUpdatesIndexWhenDecoratedCollectionIsModifiedSeparately()V	19	3
org.apache.commons.collections4.collection.UnmodifiableCollectionTest::testUnmodifiable()V	6	0
org.apache.commons.collections4.collection.UnmodifiableCollectionTest::testDecorateFactory()V	5	0
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest::addPass()V	45	0
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest::addFail()V	50	0
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest::addAllPass()V	50	0
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest::createPredicatedCollectionWithNotNullPredicate()V	64	0
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest::createPredicatedCollectionWithPredicate()V	64	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddAllMutator()V	13	1
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddAllToCollection()V	12	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddMutator()V	12	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testClear()V	12	2
org.apache.commons.collections4.collection.CompositeCollectionTest::testContainsAll()V	12	2
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddNullList()V	42	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddNullLists2Args()V	42	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testAddNullListsVarArgs()V	42	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testIsEmpty()V	70	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testIterator()V	18	4
org.apache.commons.collections4.collection.CompositeCollectionTest::testMultipleCollectionsSize()V	72	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testRemove()V	14	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testRemoveAll()V	16	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testRemoveIf()V	19	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testRemoveComposited()V	16	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testRetainAll()V	12	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testSize()V	72	0
org.apache.commons.collections4.collection.CompositeCollectionTest::testToCollection()V	12	3
org.apache.commons.collections4.collection.CompositeCollectionTest::testUnsupportedRemove()V	2	0
org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest::testUnmodifiable()V	6	0
org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest::testDecorateFactory()V	5	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionAdd()V	68	4
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionAddAll()V	73	6
org.apache.commons.collections4.collection.AbstractCollectionTest::testUnsupportedAdd()V	73	4
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionClear()V	71	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionContains()V	72	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionContainsAll()V	74	4
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionIsEmpty()V	69	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionIterator()V	71	7
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionIteratorRemove()V	131	4
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionRemove()V	74	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionRemoveAll()V	75	2
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionRemoveIf()V	77	1
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionRetainAll()V	75	2
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionSize()V	52	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionToArray()V	55	1
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionToArray2()V	130	4
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionToString()V	59	0
org.apache.commons.collections4.collection.AbstractCollectionTest::testUnsupportedRemove()V	78	1
org.apache.commons.collections4.collection.AbstractCollectionTest::testCollectionIteratorFailFast()V	82	11
org.apache.commons.collections4.collection.AbstractCollectionTest::testSerializeDeserializeThenCompare()V	1111	0
