benchmark,basic-only-intraproc,CI-intraproc,CIPP-intraproc,1-object-sens-intraproc,basic-only-interproc,CI-interproc,CIPP-interproc,1-object-sens-interproc
bootique-2.0.B1,99,99,99,99,120,122,122,122,
commons-collections4-4.4,3,3,3,3,23,23,23,23,
flink-release-1.13.0-rc1,40,40,40,40,1262,1389,1374,1356,
jsonschema2pojo-1.1.1,282,282,282,282,462,604,604,604,
maven-maven-3.8.1,23,23,23,23,31,39,39,39,
microbenchmark,125,125,125,125,137,138,138,138,
mybatis-3-mybatis-3.5.6,577,577,577,0,644,1368,1346,0,
quartz-quartz-2.3.1-patched,21,21,21,21,23,31,31,31,
vraptor-vraptor-parent-3.5.5,963,962,962,962,1301,1630,1627,1603,
